セクション,フィールド名,種別,入力例・備考
タグ,カテゴリ,選択式（単一）,保全 / 加工 のいずれかを選択
タグ,使用製品,選択式（複数可）,QZEP-60 / QZEP-200 / QZEP-480S など製品マスタから選択。タイトル上・一覧・関連事例のタグすべてに反映
タイトルブロック,サムネイル画像,画像アップロード,一覧カードと共通。推奨サイズ：320×220px以上
タイトルブロック,記事タイトル,テキスト（1行）,例：減速機ギヤの異常摩耗と異音の解消
タイトルブロック,サブタイトル,テキスト（1行）,例：騒音78dB→64dBに低減。突発停止件数が年間ゼロへ
タイトルブロック,パンくず末尾,自動生成,記事タイトルから自動生成。編集不要
使用製品,（自動表示）,自動生成,タグの「使用製品」で選択した製品が自動でカード表示される。画像・製品名・説明文はすべて製品マスタから取得。事例側での入力は不要
適用設備,適用設備テキスト,テキスト（1行〜複数行）,例：搬送・攪拌・巻き取り装置の減速機ユニット
使用方法,使用方法テキスト,テキスト（複数行）,例：ギヤオイルへ所定割合で添加使用。既存設備・油槽を変更せずそのまま導入可能。
導入前後の変化,BEFORE（導入前の課題）,テキスト（複数行）,例：長期間使用した減速機でギヤの異常摩耗が頻発。運転中のうなり音・振動が年々増加し…
導入前後の変化,AFTER（導入後の効果）,テキスト（複数行）,例：ギヤの摩耗・焼付きが顕著に低減し、運転時の異音・振動が大幅に減少して静音運転を実現…
導入効果の比較,比較項目（繰り返し・行1）,テキスト（1行）,例：ギヤ摩耗量（500時間後）
導入効果の比較,導入前（繰り返し・行1）,テキスト（1行）,例：約0.25mm
導入効果の比較,導入後（繰り返し・行1）,テキスト（1行）,例：約0.05mm
導入効果の比較,比較項目（繰り返し・行2）,テキスト（1行）,例：騒音レベル
導入効果の比較,導入前（繰り返し・行2）,テキスト（1行）,例：78dB
導入効果の比較,導入後（繰り返し・行2）,テキスト（1行）,例：64dB
導入効果の比較,比較項目（繰り返し・行3）,テキスト（1行）,例：突発停止件数（年間）
導入効果の比較,導入前（繰り返し・行3）,テキスト（1行）,例：2〜3回
導入効果の比較,導入後（繰り返し・行3）,テキスト（1行）,例：0回
導入効果の比較,※行は追加・削除可能,繰り返しフィールド,"3〜6行程度を想定。行が0件の場合はセクション全体（見出し含む）を自動非表示"
お問い合わせ（CTA）,（サイト共通設定）,自動生成,テキスト・ボタン3つはサイト全体設定から自動表示。個別記事での編集不要
関連事例,関連事例（最大3件）,記事参照,他の事例記事を選択して紐付け。サムネ・タグ・タイトル・サブタイトルは参照先から自動取得
